疾病名称,病因
表皮囊肿,"表皮囊肿的常见病因有哪些？
目前病因不明，此病可能是原发性的，也可能是继发性的。具体如下：
原发性表皮囊肿
原发性表皮囊肿主要是由于胚胎发育过程中残留的外胚层细胞异常移动，进入了其他组织并继续发育而形成
[6]
。
继发性表皮囊肿
继发性表皮囊肿主要是因外伤导致表皮或附属器上皮植入真皮而发生
[2]
。因此，又称外伤性表皮囊肿，常发生于手掌和脚掌。
感染及其他
除上述因素外，人乳头瘤病毒感染可能与表皮囊肿发病有关；由于囊肿常出现在皮脂分泌的部位，提示皮脂腺及相关疾病（粉刺等）也可能与发病相关；Gardner 综合征（一种遗传病，又被称为遗传性肠息肉综合征）也可导致头、面部出现表皮囊肿
[1,2]
。
表皮囊肿常发生在哪些人群？
表皮囊肿可发生于任何人，其中以儿童和青年为主要人群。此外，患有某些罕见遗传疾病（如 Gardner 综合征）、经常有皮肤外伤的人也容易患表皮囊肿。"
扁平疣,"扁平疣的病因是什么？
扁平疣的病因很明确，就是感染了人类乳头瘤病毒（HPV）。
该病毒只寄生于人类，宿主细胞是皮肤和黏膜上皮细胞。HPV 可以引起上皮细胞的过度增生和角化过度，造成细胞的堆积，从而在皮肤表面形成扁平突起的小疙瘩
[1-6]
。
扁平疣的好发人群有哪些？
所有人都有可能得扁平疣，但发病年龄多为 16～30 岁，尤其是免疫功能低下及皮肤有外伤者易患此病
[1,5]
。
扁平疣会传染吗？
扁平疣会传染。
可以在人与人之间传染，也可以在自身的不同部位之间传染
[2]
。
扁平疣是怎么传染的？
扁平疣主要通过皮肤接触而传染。
患者和健康带病毒者是主要的传染源，会把人乳头瘤病毒（HPV）传染给别人。HPV 可通过皮肤微小破损进入细胞内并复制、增殖
[1，5]
。
扁平疣遗传吗？
不遗传。
一种疾病如果遗传，要么是人体内的遗传物质发生了改变，要么是受致病基因的控制，都是因为人体内部的因素。扁平疣只是因为外界的人类乳头瘤病毒感染了人的皮肤上皮细胞，导致赘生物的形成，因此不会遗传。
感染了人乳头瘤病毒，只会得扁平疣吗？
不是的。
人乳头瘤病毒（HPV）可致人类皮肤和黏膜异常增生，它有 100 多种亚型，不同亚型引起的疾病不同。
低危型的 HPV 可能会出现一些良性的病变，如感染该病毒后，有可能会出现寻常疣、跖疣、扁平疣、尖锐湿疣等皮肤病。高危型的 HPV 还有一些人群也可能会发生恶性肿瘤，如宫颈癌、外阴癌、肛门癌等。也有部分人感染了该病毒后不出现任何症状和病变。
导致扁平疣的 HPV 亚型和导致恶性肿瘤的 HPV 亚型是不同的，不需过度担忧。
扁平疣不治疗，会引发其他的疾病吗？
有可能。
长扁平疣是因为感染了人乳头瘤病毒，目前该病毒确定的分型有近百种，不同分型导致不同的疾病。其中引发扁平疣的人类乳头瘤病毒亚型主要是 3、10，另外还有少见的亚型不但能导致扁平疣，还能引发寻常疣、跖疣、丝状疣。
寻常疣是好发于手及足缘的病毒性皮肤病，跖疣是长在足底的寻常疣的特称。扁平疣发生之后建议尽早治疗，否则可能会发生寻常疣或者跖疣。"
传染性软疣,"传染性软疣哪些人群比较容易得？
传染性软疣多见于儿童及青少年
[1]
。另外，因本病由病毒感染所致，机体免疫力低下者，如肿瘤患者、艾滋病、器官移植、服用免疫抑制剂的人也易得。
传染性软疣病毒是通过什么途径传播的？
此病毒主要通过接触传染、性接触、接触污染物传染。此外病毒在患者皮肤还可自体接种（一个病灶从一个部位经摩擦或患者搔抓而播散到其他部位）
[1]
。
传染性软疣会通过在公共泳池里游泳传染上吗？
有可能。在公共游泳池里游泳，如果和传染性软疣患者直接接触，或使用患者使用过的公共洗浴设施（如浴池、桑拿房等），是有可能传染上本病的。
有医生曾对所在门诊近 1 年中因传染性软疣就诊患者的染病原因进行统计，结果发现，在 685 名患者中，有 87 名（约占 12.70%）患者因在公共泳池游泳染病，86 名（约占 12.55%）因在公共浴室洗浴染病
[4]
。
传染性软疣可通过性接触传播吗？
传染性软疣可以通过性接触传播，有些生殖器部位的损害可能是由性接触感染，但并不是所有的生殖器部位传染性软疣都是由于性接触感染。
儿童的传染性软疣怎么总是长新的？
传染性软疣有传染性，某些未被发现的疣体可以继续自身传播；
儿童自我控制能力弱，喜欢搔抓，容易造成自体反复传播。
建议儿童一旦发现皮疹，及早开始治疗，且睡觉时戴上手套，可以在痒的部位外用炉甘石药水止痒，避免患儿用手反复抓导致的自身传播。"
传染性湿疹样皮炎,"传染性湿疹样皮炎的病因是什么？
传染性湿疹样皮炎的发病与原发的细菌感染病灶的分泌物及其中的细菌毒素刺激、以及自体敏感性相关。
传染性湿疹样皮炎常见于哪些人？
传染性湿疹样皮炎会发生于慢性感染病灶、分泌物较多的人。
传染性湿疹样皮炎会传染吗？
它不会传染给别人，但是会「自体传染」，意思是原发感染灶的分泌物所到之处都可能会引起传染性湿疹样皮炎，所以，积极治疗感染灶、清理分泌物，可以帮助减轻症状。"
唇炎,"唇炎的常见病因有哪些？
引起口唇部皮肤出现唇炎的病因主要有以下几类：
直接接触于口唇的物质（例如：唇膏、牙膏、金属、橡胶制品、假牙等）；
日光照射和风吹；
个人习惯性舔唇；
情绪（例如：焦虑，抑郁等）；
吸烟；
真菌感染；
自身免疫性疾病等；
辛辣以及过热食物，比如辣椒等；
接触过敏原或者一些致敏物质；
外伤、根尖病灶、身处高寒地区等。
唇炎会传染吗？
唇炎本身不具有传染性，但如是有真菌感染引起，则可通过接触传播
[2]
。"
带状疱疹后神经痛,"带状疱疹后神经痛的病因是什么？
带状疱疹是水痘-带状疱疹病毒再激活导致的，当免疫力下降时，病毒会沿着周围神经传播引起急性的神经炎进一步导致神经结构损伤。另外，神经敏感使得疼痛可自发性产生。
带状疱疹后神经痛常见于哪些人？
常见于老年患者，其发生率随年龄逐渐升高，青少年人极为罕见，60 岁以下患者发生率小于 2%，70 岁以上者发生率高达 18.5%。
带状疱疹急性期皮疹及疼痛较重者，容易发生带状疱疹后神经痛。
带状疱疹后神经痛会传染吗？
带状疱疹具有传染性，而带状疱疹后神经痛不具有传染性。
但带状疱疹不是直接传染的，接触带状疱疹患者的皮疹不会直接患上带状疱疹。但如果从未患过水痘也未接种过水痘疫苗，有可能在接触带状疱疹患者的皮疹后感染上水痘-带状疱疹病毒，并患上水痘，以后还可能发生带状疱疹。"
痱子,"痱子是什么原因引起的？
常见的原因包括：高温湿热环境（最常见）、剧烈活动（如长跑、打篮球等）、发热性疾病（如中性粒细胞减少性发热）、皮肤闷捂（如衣服不透气、绷带包扎等）。
由于气温高、湿度大，出汗多且汗液又没有及时排出体外，滞留在汗腺导管，使皮肤的角化细胞水分过多，从而导致其肿胀并堵塞汗腺导管
[2,4]
。
此外，痱子的发生可能还受其他因素的影响
[2,4]
：
药物：如可乐定，阿托品等，影响交感神经系统，从而抑制出汗，引发痱子。
皮肤病：如葡萄球菌性烫伤样皮肤综合征，破坏皮肤表皮结构，也可能会引发痱子。
汗液盐分增加的疾病：如高钠血症，过量的盐分会直接导致角化细胞脱水，促进痱子的发生。
紫外线或电离辐射：放疗或紫外线会破坏汗腺导管，引发痱子。
皮肤菌群：如葡萄球菌大量繁殖，产生一种胞外多糖物质，促进痱子的形成。
皮肤浸渍：如涉水作业，小腿皮肤浸渍在水中，也可能引发痱子。
遗传病：如 Morvan 综合征，以多汗为特征，可引起痱子的发生。
痱子最常见于哪些人？
成人和儿童均可生痱子，但儿童更常见，尤其是婴儿。可能是婴儿出生后小汗腺导管发育不全或没有及时通畅所致
[2]
。此外，不同类型的痱子可常见于不同的人群。
晶形粟粒疹：多见于婴儿，在宝宝 1 周龄时高发，也常见于高热（口腔温度 39.1°C～41.0°C）并有长期卧床、身体虚弱、大量出汗者
[2,4]
。
红色粟粒疹：多见于幼儿、家庭妇女、高温作业者
[1]
。
深部粟粒疹：多见于反复发生的严重红色粟粒疹的患者，最常见于成年男性，特别是驻扎在热带气候区的军事人员
[2,4]
。
痱子会传染吗？
不会。没有资料显示痱子会传染。
痱子会遗传吗？
不会。没有资料显示痱子会通过基因或染色体遗传给下一代。"
黑色素瘤,"黑色素瘤的病因是什么？
黑色素瘤的具体病因目前尚未完全清楚，研究者们认为，黑色素瘤的发病和以下因素密切相关
[1,4]
：
种族和遗传：白种人黑色素瘤发病率比黑种人高，约 3％～10％的黑色素瘤患者存在家族史，可能与日光敏感基因或特异性黑色素瘤易感基因的遗传有关
[1,4]
。
创伤和人为刺激：过多刺激良性色素痣（反复刮、点痣）和身体受到创伤均有可能使良性色素痣恶变
[1]
。
病毒感染：部分黑色素瘤病人可发现病毒感染的迹象
[1]
。
日光过度照射：过度暴露在日光下可增加得黑色素瘤的机率。因长期过度接受紫外线照射，可能会诱导基因突变，从而诱发本病
[4]
。
免疫因素：机体免疫力降低或者服用免疫抑制剂（如地塞米松、甲泼尼龙、硫唑嘌呤等），体内杀死肿瘤细胞的警卫细胞力量减弱了，使得肿瘤细胞越来越多，并肆无忌惮的繁殖大量后代来侵蚀身体
[1,4]
。
环境：接触化学致癌物质，例如染料、沥青、煤烟等。
黑色素瘤容易发生在什么样的人？
有家族史人群：本病的发病与黑色素瘤易感基因的遗传有关，有家族史人群的患病风险也会显著增加
[1]
。
长期紫外线照射人群：如居住在阳光充足或纬度距离赤道近等地方的人群，因长期过度接受紫外线照射，可能会诱导基因突变，从而诱发本病
[1]
。
良性黑素细胞肿瘤患者：后天发育不良痣、先天巨痣等良性黑素细胞肿瘤有一定几率发展为本病，这类人群更易患本病。
免疫功能低下人群：如癌前病变或癌症、免疫抑制、器官移植等人群，因机体免疫功能低下，可能会增加本病的患病风险
[1]
。
中老年男性：相较于女性而言，男性患病风险更高，尤其是 50 岁以上的人群
[4]
。
黑色素瘤在什么情况下容易恶变？
经常受到摩擦、挤压、抠等刺激。
多次激光治疗后仍复发的痣。
巨大的色素痣，比如直径超过 10 mm。
黑色素瘤会传染吗？
不传染，黑色素瘤虽然是一种高度恶性的肿瘤，但不具有传染性。
黑色素瘤会遗传吗？
有一定的遗传倾向，研究表明约 3％～10％的黑色素瘤患者存在家族史，也就是说每 100 个黑色素瘤患者中就有 3～10 人的家族中也有人患有本病
[1]
。"
甲沟炎,"甲沟炎的常见病因有哪些？
急性甲沟炎：通常是因为甲周围组织的损伤（比如倒刺、微小刺伤、修剪指甲过度等）继发细菌感染所致，常见的致病菌为金黄色葡萄球菌和化脓性链球菌。
慢性甲沟炎：可能与甲周围组织反复受到某种刺激因素或变态反应导致，通常是继发金黄色葡萄球菌或者念珠菌感染、铜绿假单胞菌。
甲沟炎常发生于哪些人？
急性甲沟炎：
从事农业生产、机械维修、建筑等工作的人；
患有嵌甲（即甲侧缘生长方向异常嵌入甲周软组织内）的人；
有咬指甲不良习惯者，比如修剪指甲等。
这些人会导致指甲局部损伤，为细菌侵入提供便利条件。
慢性甲沟炎：
经常浸水的人群，如鱼贩、厨师、理发师、洗碗工及部分家庭主妇；
甲周患有慢性皮炎者；
需要反复接触致敏物质的人群；
有吮指习惯的儿童；
糖尿病患者。
这些人因长时间碰水，为酵母菌和细菌提供了良好的生存条件，使病原体在此处繁殖，导致炎症。
甲沟炎会遗传吗？
尚无证据表明甲沟炎本身具有遗传性，如果是引起甲沟炎的糖尿病等诱因，具有遗传倾向。
甲沟炎会传染吗？
不传染，因为甲沟炎的形成条件是局部的皮肤破损，继发病原菌感染，如果没有破损的情况，是不会感染的。"
结节性痒疹,"结节性痒疹有哪些常见病因？
具体的发病原因不是太清楚，目前多数考虑与机体的超敏反应有关。
此外，也有可能会跟精神神经因素、遗传易过敏的体质、以及其它，如虫咬、食物或者药物的过敏、局部的感染和胃肠道功能紊乱以及内分泌障碍可能会有一定的关系。
因为瘙痒反复搔抓造成的瘙痒-搔抓恶性循环也是它持续存在的原因。
结节性痒疹的常见人群有哪些？
中老年人，尤其是女性相对更容易患结节性痒疹。与男性相比，女性患者发病年龄更早且病情更严重。
而据统计，约 5％ 的 HIV 感染者可继发结节性痒疹。此外，患有特应性皮炎、Ⅱ型糖尿病、甲状腺疾病、丙型肝炎病毒感染、肝肾功能不全、非霍奇金淋巴瘤以及精神障碍，尤其是抑郁和焦虑的人患结节性痒疹的机率更高一些。
结节性痒疹会传染吗？
没有传染性。
如果结节性痒疹合并 HIV 感染时就会有传染性，而 HIV 主要是通过性接触、血液传播以及母婴的方式传播感染的，当然绝大多数结节性痒疹患者并不会合并 HIV 感染。"
皮赘,"皮赘的病因是什么？
皮赘的确切病因尚不完全清楚，但研究表明它们的形成可能与多种因素有关，包括[2][3]：
1）遗传因素：家族中有皮赘病史的人，发生皮赘的风险可能会增加。
2）年龄：随着年龄的增长，皮肤的结构和功能会发生变化，这可能促进皮赘的形成。
3）肥胖：肥胖会导致皮肤摩擦增加，从而促进了皮赘的形成。
4）激素水平变化：激素水平的变化也可能与皮赘的形成有关，如怀孕期间女性体内激素水平的波动可能导致皮赘的出现。
5）糖尿病：糖尿病患者出现皮赘的风险较高。高血糖水平可能会影响皮肤的代谢和修复过程，从而促进皮赘的形成。
6）慢性摩擦：长期的皮肤摩擦，如紧身衣物、项链等对皮肤的持续摩擦，也可能导致皮赘的形成。
皮赘会遗传吗？
可能会。家族中有皮赘病史的人，自身发生皮赘的风险可能会增加。"
色素痣,"色素痣是什么原因引起的？
色素痣是一种发育畸形，与痣细胞在移动过程中的异常聚集有关
[2,4]
。
痣细胞起源于神经嵴，是类似表皮细胞的多角形或卵圆形细胞，胞内含有黑色素颗粒，有一个卵圆形的细胞核。所有人体内都存在痣细胞，若痣细胞在移行过程中若异常聚集，就可形成色素痣
[4]
。
目前关于痣细胞异常聚集的原因，尚不明确。
色素痣常见于哪些人？
色素痣很常见，几乎每个人身上都有。从婴儿期到老年期都可以发生，随年龄增长数目会增加，往往在青春期性成熟时及妊娠期增多增大，女性的痣一般比男性多，白人的痣比黑人多
[1]
。
色素痣是否遗传？
目前研究认为色素痣是个体皮肤局部发育异常。是没有遗传性的。
色素痣是否具有传染性？
色素痣属于良性皮肤肿瘤，不具有传染性
[1]
。可正常参加各种社交活动。"
生殖器疱疹,"生殖器疱疹是什么原因引起的？
引起生殖器疱疹的主要原因是感染了单纯疱疹病毒（HSV）
[3]
。
HSV 分为 1 型和 2 型两种（HSV-1 / HSV-2），约有 90％ 的生殖器疱疹是由于 HSV-2 感染所致（每 100 名生殖器疱疹约有 90 人是由于 HSV-2 感染所致）
[1]
。
生殖器疱疹会传染吗？生殖器疱疹传染源是什么？
会传染。
生殖器疱疹的传染源为生殖器疱疹病毒感染者，以及部分有疱疹史但无症状的病毒携带者。需注意的是，有皮损者传染性更强
[1]
。
生殖器疱疹是怎么传染的？
主要是依赖性接触传播的，原因是本病患者体内的单纯疱疹多存在于皮损处渗液、精液、前列腺液、宫颈及阴道分泌物等处
[1]
。
与患有生殖器疱疹的人阴交、肛交，就可能患上此病。
若伴侣感染有口腔疱疹，则有可能通过口-生殖器性行为的传播，患上本病
[1]
。
生殖器疱疹和艾滋病病毒之间有什么联系？
单纯疱疹感染可引起皮肤或口腔黏膜、阴道和直肠长疮或溃烂。这会给 HIV 以可乘之机，使其能够进入人体
[4]
。
即便没有可见的疮口，生殖器疱疹亦会提高处于生殖器中的 CD4 细胞（HIV 进入人体所需通过的目标细胞）数量，从而感染 HIV -1
[4]
。
当一个人同时感染 HIV 和生殖器疱疹，则 HIV 通过伴侣的口腔、阴道或直肠进行传播，使原本尚未感染 HIV 的性伴侣感染 HIV 的机会增加。"
烫伤,"烫伤有哪些常见病因？
日常生活中的烫伤非常常见，如接触火焰、沸水、热油、蒸汽、热金属、化学物质等均可引起烫伤。
此外，长期使用热水袋、暖宝宝等温度相对较高的物品也有可能会造成皮肤的烫伤
[2]
。
烫伤常发生于哪些人？
老人、孩童、肢体残疾或行动不便者是烫伤的高发人群
[1]
。
从事高温工作的人群，如厨师，冶炼钢铁的工人易接触热油、热金属，从而也容易发生烫伤。
近年来随着糖尿病发病率上升，糖尿病周围神经病变患者随之增多，糖尿病患者多数合并血液循环障碍及周围神经病变，导致肢体感觉迟钝，耐受性差，对热的敏感度低，因此此类人群也容易发生烫伤
[4]
。"
婴儿湿疹,"婴儿湿疹是什么原因引起的？
宝宝容易得湿疹的原因比较多，具体有以下几方面：
遗传因素：多项研究表明家族成员有过敏性疾病史，则婴儿更易患湿疹
[3,4]
。
皮肤屏障：婴儿的皮肤一般比较薄，皮肤锁水功能差，若不注意保湿，皮肤含水量下降、皮脂含量降低，导致皮肤保护能力下降，皮肤炎症容易发生。
免疫因素：食用或接触某些含过敏原的食物或物质引起过敏。生活中的炎热、风吹等环境易引起皮肤干燥，都可诱发或加重婴儿湿疹。
婴儿湿疹和遗传有关系吗？
湿疹这种疾病有一定的遗传性。如果家里有过敏性皮炎或者容易过敏的父母、兄弟姐妹，则宝宝也比较容易出现过敏性的皮肤疾病，包括湿疹。
婴儿湿疹会传染吗？
尚没有资料表明该疾病会传染。"
跖疣,"跖疣是什么原因引起的？诱因有哪些？
病因：
跖疣是由于人乳头瘤病毒 1、2、4（HPV 1、2、4）导致，人体感染 HPV 病毒后，细胞免疫功能发生异常，病毒侵入足底皮肤并繁殖增多，导致皮肤细胞异常生长，最后形成突出皮肤表面的肿物。
诱因：
足底外伤、摩擦、出汗：足底每天受力以及多汗 ， 再加上摩擦使皮损角质层明显增厚，均可以诱发跖疣发生。
跖疣会遗传吗？
不会。跖疣的病因是感染了 HPV 病毒，而且目前尚无跖疣可以遗传给下一代的有效证明。
跖疣会传染吗？
会传染。
人乳头瘤病毒（HPV）可通过直接接触或者环境传染给他人，引发寻常疣。跖疣患者也可以发生自身感染，出现其他部位的寻常疣。"
痛风,"痛风的病因是什么？
痛风与高尿酸血症有关。但并不是所有的高尿酸血症患者都会发生痛风，存在个体差异，个体差异可能和自身的基因有关。
此外，高尿酸血症患者发生痛风时常有一些诱因。
高尿酸血症是什么？
高尿酸血症是一种代谢病，主要由体内嘌呤代谢紊乱和（或）尿酸排泄障碍所导致。
嘌呤是在生物的细胞中正常存在的物质，基本上我们吃的食物中，很多都有嘌呤。身体会把嘌呤代谢成尿酸。当尿酸合成过多或排泄减少时，血中的尿酸浓度就会增高。
正常饮食状态下，非同日两次空腹血尿酸水平 > 420 µmol/L（不分男女），即可诊断为高尿酸血症。
我们通常所说的高尿酸血症，指的都是「原发性高尿酸血症」。
还有些高尿酸血症是由其它明确的疾病（如肾脏病、血液病等）引起，或是由服用某些药物、肿瘤放疗化疗等原因引起，这些称为「继发性高尿酸血症」。
痛风发作的常见诱因有哪些？
导致痛风发作的常见诱因有外伤、酗酒、过饱、进食过多高嘌呤食物（各种动物内脏、浓肉汤、海鲜等）、过劳、受凉、精神紧张等，这些原因可导致身体内或某个部位的嘌呤含量增高，导致尿酸盐结晶，从而诱发痛风
[4]
。
痛风会遗传吗？
有可能会遗传。痛风是一种多基因遗传性疾病，有一定的遗传倾向
[1]
。
痛风容易找上哪些人？
中老年男性：此类人群中生活富裕、体态肥胖、应酬多的人较多，喝酒、吃肉比较多，常伴有高血压病、糖尿病或高脂血症等疾病，导致尿酸代谢异常，易发此病。
绝经后女性：绝经后女性，由于体内雌激素水平下降，影响体内尿酸的排泄，易发生此病。
沿海地区人群：沿海地区人群由于饮食习惯（多吃海鲜），摄入的嘌呤多，发生此病的几率也比较大。
肥胖人群：肥胖会导致人体代谢异常，易发生此病。
代谢性疾病人群：糖尿病、高血脂等代谢性疾病可能会导致体内尿酸代谢异常，易发生此病。"
糖尿病,"糖尿病是怎么形成的？
进食或体内分泌升糖激素后，血糖会升高。高血糖可以刺激胰岛 β 细胞合成和分泌胰岛素，在血液循环的作用下，这些胰岛素会被运输到体内各组织器官中，从而降低血糖
[1]
。
当各种原因导致胰岛素分泌不足或发生胰岛素降糖作用减弱（医学上称之为胰岛素抵抗）、迈不开腿时，就会出现血糖升高，发生糖尿病。
糖尿病常见的病因有哪些？
目前认为遗传因素和环境因素都会参与糖尿病的发病
[1]
。
遗传因素：
如果某个人的父母、子女或亲兄弟姐妹中有人患有糖尿病，再加上自身免疫和环境因素等，那么这个人得糖尿病的风险就很大。
环境因素：
肥胖：高糖高脂的饮食习惯、抽烟饮酒、长期缺乏运动，导致能量过剩，大大增加了超重和肥胖的可能性，极容易产生胰岛素抵抗（机体对胰岛素的敏感性降低，胰岛素调节血糖能力减弱）现象，常见于 2 型糖尿病。
年龄增长：随着机体的衰老，胰岛 β 细胞的功能也无法避免的会有所下降，合成与分泌的胰岛素数量减少，调节血糖的能力自然无法与年轻时相比，从而诱发糖尿病，常见于 2 型糖尿病。
妊娠：妊娠期间，胎盘分泌出的各种激素，会扰乱胰岛素的正常工作，到了妊娠中晚期，孕妇对胰岛素的敏感性下降，从而导致血糖升高。
免疫：病毒感染（风疹病毒、腮腺炎病毒等）和化学刺激损伤了胰岛 β 细胞，导致胰岛素分泌不足，常见于 1 型糖尿病。
糖尿病是「吃出来」的病吗？
糖尿病的发病原因很复杂，有些跟生活习惯有关，有些无关，所以不能笼统的认为是吃多了才得的病。
血糖调节能力很好的正常人，即使大吃大喝也不会高血糖。但是不良的生活习惯，例如酗酒、肥胖、暴饮暴食、爱吃甜食等，确实会加重身体调节血糖的负担。
所以，爱吃的人不是一定会得糖尿病，但是管不住嘴确实可能让你更容易得糖尿病。
糖尿病常见于哪些人群？
不同类型的糖尿病，可见于不同人群，例如妊娠期糖尿病特发于妊娠期的妇女； 1 型糖尿病常见于胰岛 β 细胞被破坏的儿童和青少年。这里简述一下发病率最高的 2 型糖尿病常见的人群。
成年人的 2 型糖尿病，常见于以下人群
[2]
：
年龄 ≥ 40 岁；
糖尿病前期（血糖异常但又未达到糖尿病诊断的标准）；
超重和肥胖（BMI ≥ 24 kg/m2），或中心型肥胖（男性腰围 ≥ 90 cm，女性腰围 ≥ 85 cm）；
有久坐、运动少的生活方式；
父母、子女、亲兄弟姐妹中有糖尿病患者；
长期接受抗精神病药物或抗抑郁症药物治疗。
生过巨大儿（体重 ≥ 4 kg）、或有妊娠糖尿病病史；
有高血压、高血脂、动脉粥样硬化性心脑血管疾病；
有类固醇糖尿病的病史，即以往曾长期、大量使用糖皮质激素并发生血糖升高的副作用；
有多囊卵巢综合征；
有糖调节受损的病史（何谓糖调节受损，可参见诊断部分，有详细介绍）。
未成年人的 2 型糖尿病，常见于超重和肥胖且合并下列任一情况的人群
[2]
：
亲属中有 2 型糖尿病患者；
有胰岛素抵抗相关的表现，如黑棘皮病、高血压、高血脂、多囊卵巢综合征等；
母亲怀孕时有糖尿病。
糖尿病会遗传吗？
糖尿病不是遗传病但存在家族聚集性，研究表明：1/3 的糖尿病患者后代出现了糖尿病或血糖异常的情况
[3]
。但这也并不意味着有糖尿病家族史的人一定会患糖尿病，只不过患病风险会高于常人。"
肥胖症,"肥胖症是由哪些原因引起的？
导致肥胖症的基本原因是摄入的能量比消耗的能量多。
有多种因素可以导致这种能量不平衡的出现，包括遗传因素、环境因素（不良生活方式与饮食习惯）、内分泌因素、神经精神因素（饱食中枢与饥饿中枢的作用）等
[1]
。
原发性肥胖症的病因是什么？
主要与遗传因素及吃得多、动得少有关，其中，遗传因素是 40%～70% 的肥胖症患者的主要病因
[4]
。
继发性肥胖症有哪些原因？
继发性肥胖症一般继发于「神经-内分泌-代谢紊乱」基础上，包括下丘脑性肥胖、垂体性肥胖、甲状腺性肥胖、肾上腺性肥胖、胰岛性肥胖等。
如发生在下丘脑-垂体的感染、肿瘤、创伤、皮质醇增多症、甲状腺或性腺功能减退、胰岛素瘤等疾病，都可导致继发性肥胖症。一些精神疾病（如抑郁症、进食异常等）和药物因素（如皮质激素、避孕药）导致的肥胖，也属于继发性肥胖症的范畴
[2]
。
肥胖症受哪些饮食习惯、生活方式的影响？
与肥胖症有关的饮食因素包括食欲、高糖／高脂饮食、进食总量等
[1]
。
食欲不仅受能量代谢动态平衡影响，还受社交、饮食习惯、情绪等影响。如今随着社会经济水平的提高，食物种类增多，因高脂食物的口感味道相对好，人们选择进食高脂肪类食物的机会增加，加上社交增多、情绪因素等增加了人们的食欲或进食总量，摄入的总能量增加。
另一方面，随着社会科技水平的提高，各类工作对人们的体力活动需求减少，机体的能量消耗减少。这样一来，机体能量摄入增加与消耗减少间的不平衡，最终导致了肥胖症的发生率明显增加
[4]
。
为什么进食速度快容易发胖？
减慢进食速度可让人体有时间感觉到饱腹的「生理信号」。肥胖的人一般食欲较好，进食速度快，就会导致大多食物没有得到充分的咀嚼，没有形成足够的食糜贴附于胃壁，发不出饱腹的「生理信号」，所以虽已吃了较多食物但仍会有饥饿感。另一方面，咀嚼时间过短，迷走神经仍处于过度兴奋状态，食欲也会相对亢进。
因此，进食速度快的肥胖症病人在大脑饱食中枢发出停止信号时，往往已经吃了过多的食物，结果导致总热量超标进而发生肥胖
[7]
。
哪些药物可能增加肥胖症风险？
常见的能增加肥胖风险的药物有三环类抗抑郁药（如多虑平、阿米替林）、类固醇激素（如皮质醇激素、性激素等）、磺脲类药物（如格列本脲、格列吡嗪）、胰岛素、β 受体阻滞剂等，以及某些口服避孕药（如毓婷、优思明）、抗精神病药（如利培酮、奥氮平）、抗癫痫药（卡马西平、苯巴比妥）
[2]
。"
甲状腺功能亢进症,"甲状腺功能亢进症的病因有哪些？
弥漫性毒性甲状腺肿：是甲状腺功能亢进最常见的病因
[1]
。
结节性毒性甲状腺肿和甲状腺自主高功能腺瘤：也可引起甲状腺激素过多而引发甲亢
[1]
。
此外，其他病因还包括碘摄入过量或使用含碘药物（如胺碘酮）、垂体疾病、吸烟、高碘饮食、感染、妊娠等
[3]
。
甲状腺功能亢进症的主要病因弥漫性毒性甲状腺肿是什么？
弥漫性毒性甲状腺肿是一种自身免疫病，可导致甲亢，可能与遗传、免疫系统异常等因素有关。它的特点是可引起突眼及甲状腺弥漫性肿大
[1]
。
甲状腺功能亢进症的主要病因「Graves 病」是什么？
Graves 病是一种自身免疫病，可导致甲亢，它的特点是可引起突眼、血中的自身抗体「TRAb」明显升高。
甲状腺功能亢进症哪些人容易得？
有弥漫性毒性甲状腺肿家族史者
：该病有显著的遗传倾向，因此有该病家族史者，患甲亢的风险更高
[1]
。
孕妇
：孕妇也是发生甲亢的高危人群，可能与怀孕后胎盘释放大量绒毛膜促性腺激素有关。
长期使用含碘药物、高碘饮食的人群
：也比一般人群更易发生甲亢，可能是由于过量的碘影响了甲状腺的正常工作，进而导致甲亢。
甲状腺功能亢进症会遗传吗？
由自身免疫性甲状腺疾病（比如弥漫性毒性甲状腺肿）引起的甲亢，可能会遗传，但不是百分之百会遗传
[1]
。
甲状腺功能亢进症会传染吗？
不会。"
