疾病名称,简介
婴儿湿疹,"婴儿湿疹是什么病？
婴儿湿疹是小儿皮肤科常见病和多发病，民间通常把婴儿湿疹俗称为奶癣，但实际上它并不是一种由真菌感染导致的癣菌病。是一种比较常见的发生在婴儿身上的皮肤病，它的病因复杂，可能与婴幼儿皮肤屏障功能差、接触过敏原、皮肤过于干燥等因素有关。湿疹可导致皮肤瘙痒，引起婴儿哭闹不安，影响食欲、睡眠和身体发育。
有些宝宝还会搔抓，造成继发感染。家长会观察到宝宝湿疹部位皮肤粗糙、变红，有一片一片的疹子，有些宝宝的湿疹部位皮肤会潮湿，或者有一些水样的液体渗出。
70% 左右的宝宝湿疹会在 2 岁前完全好转，90% 左右的宝宝会在学龄期前完全好转，但也有一小部分婴儿湿疹会延续到成年。
图片来源：编辑
婴儿湿疹病常见吗？
有研究表明，婴儿湿疹患病率为 53 %，也就是差不多每两个孩子就会有一个患或曾患湿疹
[2]
，好发年龄为 1～3 月，1 岁半后大多逐渐自愈。"
跖疣,"跖疣是什么病？
跖疣是一种感染人乳头瘤病毒（HPV） 而引起的皮肤病，属于寻常疣的一种。发生在足底，尤其是跖趾位置（一侧或两侧脚底和脚趾），所以被称为跖疣
[1]
。
由于跖疣与其他部位的寻常疣表现有所不同，所以人们习惯把它视为一个单独的疾病。
跖疣位于足底，长期受压迫，表面会形成淡黄色、类似老茧的角质层，部分也可见散在的小黑点（其实是小血管破裂导致的）
[1]
。
跖疣以足部受力部位（如靠近大拇趾的脚掌）最常见，外伤、摩擦、出汗等都是跖疣的常见诱发因素
[1,2]
。
跖疣常见么？
跖疣常见，跖疣在所有皮肤疣中占比 34％，即 100 名皮肤疣患者，其中约 34 名是跖疣患者
[3]
。跖疣可以发生于任何年龄
[1]
。
对于皮肤疣还没有太准确的流行病学数据，但整体而言，疣病（HPV 感染所致的寻常疣、尖锐湿疣等）在总人群的发病率大概为 3 / 1000
[4]
。简单理解，就是每一千个人里面，可能就有 3 个人患有疣病。"
痛风,"痛风是什么？
痛风是由于人体对嘌呤的代谢出现紊乱，或者尿酸无法正常排出体外，导致尿酸盐在身体内堆积，尤其是关节、肾脏部位，从而引起的炎症反应和组织损伤。
急性发作期间表现为一个或多个关节的剧烈疼痛
[1]
。
痛风急性发作期间，可通过止痛、抗炎治疗缓解症状。
痛风缓解期间最重要的治疗是降尿酸治疗。坚持降尿酸治疗，可以预防痛风反复发作， 阻止关节破坏、畸形，还可以防止高尿酸对肾脏的损害。
痛风常见吗？
较常见。我国痛风患病情况为每一千人中有 3～28 人患病
[1]
。本病好发于中老年男性和绝经后女性，男性多于女性，所有痛风患者中，只有 5％～20％ 的女性患者，即每 100 个痛风患者中，只有 5～20 个是女性
[2]
。"
糖尿病,"糖尿病是什么？
糖尿病，是由于体内糖的调节和利用出现了问题而导致的一类疾病，表现为血糖的异常增高和波动，和遗传、环境等因素密切相关
[1]
。
可导致多饮、多尿、多食、体重减少等「三多一少」的典型症状，这一典型症状多出现在 1 型糖尿病中，很多 2 型糖尿病患者在早期是不会有明显的「三多一少」症状，往往只是在抽血化验时才发现血糖的异常。
血糖升高和波动会影响到身体的各个脏器，包括眼睛、肾脏、神经、血管等，更有甚者会出现各种严重并发症。
绝大部分的糖尿病无法治愈，一旦患上则需终生进行治疗。治疗以药物为主，但还需结合日常饮食、运动和自我血糖监测。
糖尿病有几种类型？
糖尿病有多种类型，包括：1 型糖尿病、2 型糖尿病、妊娠期糖尿病，以及一些特殊类型糖尿病
[2]
：
1 型糖尿病（T1DM）：主要是遗传和自身免疫等因素，导致无法正常分泌胰岛素，需要终身注射胰岛素治疗。
2 型糖尿病（T2DM）：是糖尿病中最为常见的类型，占全部糖尿病的 90％ 以上， 多见于成人，常在 40 岁以后起病
[1]
。
妊娠期糖尿病：是在妊娠期间由于激素水平的变化导致血糖升高，大多数患者的血糖在分娩后可以恢复正常。
特殊类型糖尿病：由于其他特殊原因导致的糖尿病，并不常见。
糖尿病常见吗？
常见。
1980 年糖尿病的患病率仅为 0.67％，而 2017 年最新数据显示，我国有 11.2％ 的人群患有糖尿病，也就是说每 100 个人中就约有 11 个人患有糖尿病
[2]
。
糖尿病中有种脆性糖尿病是什么意思？
1 型糖尿病或者 2 型糖尿病病程较长的患者，由于胰岛功能很差，分泌的胰岛素很少，血糖容易发生波动，低血糖和高血糖交替出现，这叫做脆性糖尿病。
脆性糖尿病治疗难度比较大，更需要患者很好地配合医生。
糖尿病应该去哪个科室就诊？
内分泌科。基层医院若无内分泌科，可就诊于普通内科。"
肥胖症,"肥胖症是什么病？
肥胖症是一种由多种因素引起的慢性代谢性疾病，表现为体内脂肪堆积过多和（或）脂肪分布异常，通常伴有体重增加。
根据病因，肥胖症可以分为原发性肥胖症和继发性肥胖症。前者常见，主要由不良的饮食、生活习惯所致；后者由各种明确的疾病所致，如皮质醇增多症、生长激素缺乏症、下丘脑性肥胖等。
针对原发性肥胖症，控制饮食、增加运动量是最重要的治疗措施，必要时可在医生的指导下借助药物、手术减重。针对继发性肥胖症，治疗原发疾病是关键。
肥胖是很多严重疾病的危险因素，如果不加以重视并且积极治疗的话，很有可能继发其他严重的并发症，如高血压、血脂异常等，影响患者的生存质量。
此外，肥胖症患者可能因为患病而感到羞愧、自责，出现很多负面情绪。此时更需要家人和朋友的理解与关爱来帮助他们走出精神困境
[1-3]
。
肥胖症常见吗？
常见。中国超重与肥胖的发病率和增长速度均居世界首位，现已成为世界上超重和肥胖人数最多的国家。
2015～2019 年最新的全国统计数据显示，我国 6 岁以下儿童的超重率为 6.8%、肥胖率为 3.6%；6～17 岁儿童和青少年的超重率为 11.1%、肥胖率为 7.9%；成人（≥18 岁）的超重率为 34.3%、肥胖率为 16.4%。
在这次统计中，中国成人超重和肥胖患病率首次超过 50%；预计到 2030 年，中国成人超重及肥胖患病率将达到 61%
[4]
。
胖也是病吗？
是病，但这里的胖是体重超标，有规范的定义。
世界卫生组织（WHO）将 BMI 介于 25～29.9 kg/m
2
定义为超重，而 BMI ≥ 30 kg/m
2
定义为肥胖；在我国，BMI 界于 24.0～27.9 kg/m
2
定义为超重，BMI ≥ 28 kg/m
2
定义为肥胖，具体算法是以体重除以身高的平方（kg/m
2
）
[4]
。
很多人认为肥胖不是一种病，其实早在 1997 年，世界卫生组织（WHO）在日内瓦召开的首届全球肥胖大会中既明确指出「肥胖本身就是一种疾病」。随后，WHO 在其编写的国际疾病分类中也正式给予肥胖症一个独立的疾病编码。
美国内分泌学会（ACE）和美国临床内分泌医师协会（AACE）在 2014 年 5 月发表宣言及共识指出「肥胖是一种慢性疾病」，并强调肥胖能导致一系列严重的健康问题，需要得到人们的重视，加强肥胖症的防治工作。
肥胖症有哪些类型？
根据病因，肥胖症可以分为原发性肥胖症和继发性肥胖症：
原发性肥胖症：
又称为单纯性肥胖症，主要与遗传、长期进食过量及运动不足有关。大部分肥胖症患者都是这个类型。
继发性肥胖症：
是指由于其他健康问题所导致的肥胖，换句话说，就是指有病可查的肥胖症。要治疗这种类型的肥胖，一定要先治好皮质醇增多症、生长激素缺乏症等原发疾病。
继发性肥胖症非常少见但更要重视。据统计，原发性肥胖症和继发性肥胖症占肥胖症的比例分别为 99% 和 1%，尽管如此，继发性肥胖症如被误以为单纯性肥胖症的话，容易延误相关疾病的诊断治疗，需要加以认真鉴别
[4]
。
腹型肥胖是什么？
胖在肚子和腰上的情况就是腹型肥胖，而且危害更大。
根据体内脂肪异常积聚的主要部位，肥胖症可以分为腹型肥胖、皮下脂肪型肥胖以及这两种的混合型。
顾名思义，腹型肥胖指多余的脂肪主要分布于腹腔内，尤其是腹腔内脏器官和肠系膜、大网膜，腹型肥胖因此又称为中心性肥胖、内脏型肥胖，也称为「苹果形肥胖」。
腹型肥胖发生代谢综合征、糖尿病、血脂异常、高血压等疾病的风险明显高于皮下脂肪型肥胖者和混合性肥胖者
[4]
。
肥胖症应该看什么科？
有些医院有专门的肥胖门诊。如没有肥胖门诊，可至内分泌科就诊。"
甲状腺功能亢进症,"甲状腺功能亢进症是什么病？
甲状腺功能亢进症，以下简称
甲亢
，由甲状腺激素分泌过多导致。可表现为怕热、多汗、心慌、失眠、容易饥饿、体重减轻等症状
[1]
。
引起的甲亢的病因多种多样，包括弥漫性毒性甲状腺肿、多结节性毒性甲状腺肿、甲状腺自主高功能腺瘤等。其中，由弥漫性毒性甲状腺肿引起的甲亢最常见
[1]
。
本病一般可通过口服药物、放射性碘131或手术治疗，大部分患者可以获得治愈，少部分患者会复发或需要终身治疗。
甲状腺功能亢进症是「大脖子病」吗？
不是。
「大脖子病」，是由于居民饮食中普遍缺碘而导致的一种疾病，学名是「地方性甲状腺肿」，现在由于加碘食盐的普及，这种疾病很少见到了。它与甲亢都会出现甲状腺肿大的情况，但甲亢还会伴有心慌、腹泻等其他系统的症状，而「大脖子病」一般不会出现其他系统的症状，可通过甲状腺功能测定加以鉴别。
甲状腺功能亢进症常见吗？
常见。在我国，甲亢的患病率约为 1.5%
[2]
，也就是说每 200 人中约有 3 人患有此病。"
甲状腺功能减退症,"甲状腺功能减退症是什么病？
甲状腺功能减退症简称「甲减」，指体内甲状腺激素不足、或甲状腺激素作用减弱的一种疾病状态
[1]
。
可导致乏力、嗜睡、怕冷、浮肿、食欲减退、体重增加、便秘等症状。
甲减可由多种原因导致，最常见的原因是甲状腺自身的疾病，比如桥本甲状腺炎。
大部分甲减都可以通过补充甲状腺激素治疗，「缺什么补什么」，常用药物有左甲状腺素钠片，如优甲乐、雷替斯等。
虽然有些甲减可以完全治愈，但大部分甲减可能要终身服药。不过对生活、工作影响不大。
甲状腺功能减退症常见吗？
常见。
其中亚临床甲减（没有甲减的临床症状和体征，甲功表现为三碘甲腺原氨酸 T3、甲状腺素 T4正常，促甲状腺激素 TSH 升高的甲减）的发病率占世界总人口的 4%～10 %（即每 100 个人中约有 4～10 位是亚临床甲减患者 ），且亚临床甲减患者每年会以 2%～5% 进展为临床甲减（甲功表现为T3、T4降低，TSH升高的甲减）
[2]
。
甲状腺功能减退症分为几种类型？
根据甲减的病因和发生部位，可以分为原发性甲减、中枢性甲减、甲状腺激素抵抗综合征
[1]
。
原发性甲减：最为常见，是指由甲状腺本身的疾病(如桥本甲状腺炎、缺碘、甲状腺切除术)所导致的甲减。
中枢性甲减：下丘脑、垂体是甲状腺的司令部，下丘脑、垂体的疾病也会导致甲减，这种甲减即为中枢性甲减。甲状腺激素抵抗综合征：虽然甲状腺能照常合成和分泌甲状腺激素，但甲状腺激素不起作用了，也会导致甲减的症状出现，这种情况的甲减即为甲状腺激素抵抗综合征，比较少见。
根据甲减的程度不同，可分为
[1]
：
亚临床甲减：亚临床甲减的甲功表现为三碘甲腺原氨酸 T3、甲状腺素 T4正常，促甲状腺激素 TSH 升高。
临床甲减：临床甲减的甲功表现为 T3、T4 降低，TSH 升高。"
甲状腺结节,"甲状腺结节是什么？
甲状腺位于颈部前侧
[1]
，甲状腺结节是指在甲状腺腺体内的肿块
[2]
，是甲状腺疾病最常见的表现形式
[3]
。由于甲状腺结节早期没有明显症状，所以多数人的甲状腺结节都是在体检时发现的。
甲状腺结节常见么？
甲状腺结节很常见。
一般通过专科医生触诊，甲状腺结节的检出率为 2%～6%，即为每 100 个人，就有 2～6 个人可以经过专科医生触诊检出甲状腺结节；借助甲状腺超声，甲状腺结节的检出率可高达 19%～35%
[4]
，即为每 100 个人，就有 19～35 个人可以经过超声检测出甲状腺结节。
女性比男性更容易长甲状腺结节
[5]
，男女发病率约为 1:9。
甲状腺结节有几种类型？
根据甲状腺结节对显影剂的摄取能力分为三种类型
[3]
：
「热结节」（高功能结节）：摄取显影剂的能力高于周围正常的甲状腺。这种结节恶变的几率较小，仅有 1% 左右，即为 100 个出现「热结节」的患者约有 1 人的结节会恶变。
「温结节」（功能正常结节）：摄取显影剂的能力与周围正常的甲状腺相似。恶变几率约为 4%，就是说 100 个出现「温结节」的患者，约有 4 人的结节会恶变。
「凉结节」（低功能结节）：也被称为「冷结节」，摄取显影剂的能力低于周围正常甲状腺。
根据严重程度可以分为两种类型
[4]
：
良性甲状腺结节：相对来说较为安全，可以先不作处理，只需定期观察。
恶性甲状腺结节：可能是由于甲状腺癌引起，需要根据医生建议进行手术治疗。
甲状腺结节应该看什么科？
甲状腺外科、内分泌科、普通外科。"
糖尿病前期,"糖尿病前期是什么意思？
糖尿病前期是包括空腹血糖受损（空腹时测量血糖异常）和糖耐量降低（人体对葡萄糖代谢的调节能力降低）的一种内分泌疾病。是由正常糖耐量向糖尿病转化的可逆的过渡阶段，但是不满足糖尿病的诊断标准
[1,2]
。
一般无明显症状，仅有少部分患者可能在空腹时出现心慌、手抖等症状，用餐后即缓解。可以通过药物治疗、控制饮食等手段根治，一般预后较好
[3]
。
这包括空腹血浆葡萄糖和 (或) 口服葡萄糖耐量试验（OGTT）2 小时血浆葡萄糖（2hPG）升高但未达到糖尿病的诊断标准，即存在空腹血糖受损（IFG）或糖耐量异常（IGT）或两者兼具（IFG+IGT）。
正常情况下，空腹血糖不超过 6.1 毫摩尔 / 升，餐后或服糖水后 2 小时血糖不超过 7.8 毫摩尔 / 升。如果空腹血糖超过 7.0 毫摩尔 / 升，或是餐后（服糖水后） 2 小时超过 11.1 毫尔 / 升，符合其中一个条件就诊断糖尿病。
空腹血糖受损指空腹血糖血糖在 6.1～7.0 毫摩尔 / 升之间，餐后血糖正常。糖耐量受损则指空腹血糖正常，餐后血糖在 7.8～11.1 毫摩尔 / 升之间
[4]
。糖尿病前期的早期诊断、早期干预，能减少并延缓糖尿病、心血管病和微血病等疾病的发生和发展。
糖尿病前期常见吗？
常见。研究调查显示，2017 年我国成年糖尿病前期患病率为 35.2%
[3]
，即为每 1000 个成年人中约有 352 人患有糖尿病前期。
糖尿病前期要去看哪个科？
内分泌科，内科。"
高尿酸血症,"高尿酸血症是什么？
高尿酸血症，「病如其名」，从疾病名称的字面上就不难看出，血液里的尿酸水平增高就称之为高尿酸血症。
目前我国将高尿酸血症（HUA）定义为：正常嘌呤饮食状态下（相对于高嘌呤饮食而言，在后面会具体说到这个问题），成年人无论男性还是女性，非同日两次空腹血尿酸水平 ＞420 μmol/L（7 mg/dL）
[1]
。
虽然高尿酸血症属于一种终身性疾病，但如果没有出现肾功能损害、关节畸形等情况，那么患者经及时规范治疗后不影响日常生活和工作，通常以一般治疗（如饮食控制）、药物治疗等治疗手段为主
[2]
。若不及时处理，少数患者尿酸不能控制，会发展为痛风
[2]
，加重病情。
有高尿酸血症的人多吗？
患有高尿酸血症的人数逐年上升并呈现年轻化趋势
[3]
。
研究显示，中国高尿酸血症的总体患病率为13.30％
[1]
，也就是说每 100 人中约有 13 位高尿酸血症患者，男性多于女性
[2]
。
而且患病情况有一定的地区差异，即南方和沿海经济发达地区较国内其他地区患病率高。可能与这些地区的人们摄入过多高嘌呤的海产品、动物内脏、肉类食品以及大量饮酒等因素有关
[2，3]
。
高尿酸血症和痛风是什么关系？
痛风一定有尿酸高的基础，但尿酸高不一定会出现痛风，有些人可能一辈子都只是尿酸高，而没有痛风发作的经历。
高尿酸和痛风的具体关系是这样的：
血液中尿酸的水平长期处于过高状态，如果未采取治疗措施，过高的尿酸就很容易超过其在血液中的溶解度，然后以结晶的形式析出，沉积在关节腔、肾脏等器官和组织，从而导致痛风和痛风性肾病等疾病的发生。
有数据显示，大约 5％～19％ 的高尿酸血症患者会发生痛风
[4]
，换句话说，每 100 位高尿酸血症患者中约有 5～19 位患者会发展为痛风。
高尿酸血症能不能发展为痛风，是因人而异的，但血尿酸浓度越高，就更容易形成尿酸盐结晶，发生痛风的可能性也就越大。
因此，如果刚刚发现尿酸有所升高的时候就要注意，保持健康的生活方式，少吃肉汤、尽量不喝酒和含糖饮料，每天喝足 2 000 mL 的水，每周保持一、两次 30 min 的有氧运动等；如果医生建议开始吃药降尿酸，一定要听从医生的建议规范治疗。
高尿酸血症应该去哪个科室就诊？
高尿酸血症要及早发现，并积极配合治疗，防止并发症的发生。发现高尿酸血症，需要去看内分泌科或风湿免疫科。"
低钾血症,"钾有什么作用？
钾是机体重要的矿物质之一，钾有很多重要的生理功能：
参与、维持细胞的正常代谢；
维持细胞内液的渗透压和酸碱平衡；
维持神经、肌肉组织的兴奋性；
维持心肌正常功能等。
钾过高或过低均会对机体造成严重影响，维持钾代谢平衡非常重要。
钾在体内是如何分布的？
正常成年人体内约含 150 克钾，其中 98% 储存在细胞内，2% 分布在细胞外。
医院通常测定的即为细胞外液中钾的浓度（测定不含红细胞的血液成分的钾浓度，细胞内的则高得多）。
人体内钾的来源有哪些？
人体内的钾主要来源于食物，食物中的钾 90% 在短时间内通过肠道吸收入血，因此长期不能进食的患者易出现低钾血症。
体内的钾是如何排出体外的？
正常情况下人体内的钾主要通过汗液、尿液、消化道排泄，人的排泄系统对钾元素的排泄有「多吃多排、少吃少排、不吃也排」的原则，因此夏天大量出汗、多尿或腹泻而不及时补充钾盐，易出现低钾血症。
低钾血症是什么病？
正常血清钾浓度一般为 3.5 mmol/L～5.5 mmol/L。
低钾血症指血清钾小于 3.5 mmol/L 的一种不健康的状态，常常继发于其他疾病。低钾血症可引起一系列不良后果，如肌肉无力、瘫痪、心率失常、甚至猝死。
通常以治疗原发病为主，必要时补充钾。原发病不除，低钾血症就容易反复发作。"
电解质紊乱,"电解质紊乱中的电解质是什么？
《红楼梦》中的贾宝玉说「女儿是水做的骨肉，男人是泥作的骨肉」，其实他只说对了一半，不管男性、女性水都占到了人体体重的一半以上（55%～60%）。
人体内的水中富含一些重要物质，比如钠、钾、钙、镁、氯、碳酸氢根、磷酸氢根等，这类溶解在水里的物质又被称之为电解质。
电解质紊乱是什么？
正常情况下人体内电解质成分是稳定的，保持平衡状态，这是人体各个部位、组织、器官、细胞正常运转所必须的生命基础。
当出现饮食摄入不足、呕吐、腹泻、某些遗传性疾病、内科疾病、外科创伤或手术等状态时，水中的部分电解质出现紊乱失衡，不再处在正常范围内，这就是电解质代谢紊乱（electrolyte disorders），也称电解质紊乱，或电解质失衡。
电解质紊乱有什么危害？
电解质紊乱根据程度可以分为轻度、中度、重度紊乱，对于重度的紊乱可能危及生命。
根据紊乱出现的时间，分为急性和慢性，急性的紊乱往往症状更为严重；根据紊乱情况，分为单纯型（比如只有钠的异常）和混合型（比如同时出现钠、钾等多个电解质的异常）。
电解质紊乱的表现，因具体电解质紊乱的情况各有不同，比如钠紊乱、钾紊乱或钙紊乱等，紊乱的电解质不同表现就各有特点，引起电解质紊乱的病因不同，表现也是各有差异。
电解质紊乱怎么治疗？
婴幼儿、老年人、具有慢性疾病的人群容易出现电解质紊乱。
治疗方面只要是要查找到导致电解质紊乱的病因，针对病因治疗才能很好地解决问题，如果暂时不能查找到原因，或是病情危重，或是生命受到威胁的情况下，也可以先采取「多退少补」的原则，比如出现高钙的时候先采取必要的措施把钙降下来，出现低钾的时候先采取措施把钾补上去等。
对于导致电解质紊乱的原因明确，如果病因能够祛除，则紊乱就能被治愈，如果病因不能祛除或是原因不明，则紊乱可能会长期存在，需要定期复查，长期给与治疗，这种情况对健康和生活质量会带来一定的影响。
电解质紊乱常见吗？
电解质紊乱比较常见。
很多疾病都会伴随出现电解质紊乱，比如感染发热、恶心呕吐、创伤、手术、胃肠疾病、肝病、脑部疾病、内分泌性疾病（比如甲状腺疾病、甲状旁腺疾病、肾上腺疾病、垂体病变）等，都可能伴随出现一种或多种电解质紊乱。
电解质紊乱和酸碱平衡紊乱是同一种病吗？
酸碱平衡紊乱和电解质紊乱不是同一种疾病，但是两种疾病常常可以同时一起出现。
人体的血液有一定的酸碱度，医学上又称之为 pH 值，正常在 7.35～7.45，通常是抽取动脉血进行血气分析来进行判断，如果低于 7.35 则为酸中毒，如果高于 7.45 则为碱中毒。
电解质紊乱则主要是进行静脉血抽血化验电解质，如果钠、钾、钙、镁、磷、氯等其中一种或是多种电解质出现异常，不在正常范围之内，就表示存在电解质紊乱。
某些疾病可以同时出现电解质紊乱和酸碱平衡紊乱，比如糖尿病酮症酸中毒，可以同时出现酸中毒和钾钠低的情况。
电解质紊乱有哪几种类型？
电解质紊乱主要根据发生紊乱的电解质的情况分为低钠血症、高钠血症、低钾血症、高钾血症、低钙血症、高钙血症、低镁血症、高镁血症、低磷血症、高磷血症等。"
高脂血症,"血脂是什么？
血脂是血浆中的胆固醇、甘油三酯和类脂（如磷脂）等的总称。与疾病密切相关的血脂主要是胆固醇和甘油三酯，其他还有游离脂肪酸和磷脂等。而胆固醇则又分成低密度脂蛋白胆固醇（LDL-C）和高密度脂蛋白胆固醇（HDL-C）等
[1,2]
。
高脂血症是什么病？
高脂血症是指血脂升高，包括高胆固醇血症（血清胆固醇＞ 6.2 mmol/L）、高甘油三脂血症（甘油三酯＞ 2.3 mmol/L）等。高脂血症可能不会引起什么不适的感觉，但可能会引发一系列疾病，如动脉粥样硬化、冠心病、脑卒中等。
因此要进行干预，使血脂降至目标范围。降血脂的方法不只局限于药物，还包括饮食控制、体育锻炼等
[3]
。
高脂血症的类型有哪些？
根据病因分类：
原发性高脂血症：大多数患者有明显的家族遗传性，还与不良的生活方式如，高脂高糖饮食、过度饮酒等有关。
继发性高脂血症：由其他疾病引起，如肥胖、糖尿病、肾病综合征等；也可能与应用某些药物有关，如利尿剂（呋塞米、氢氯噻嗪等）、糖皮质激素（泼尼松、氢化可的松等）
[3]
。
高脂血症常见吗？
本病常见，随着人们饮食习惯和生活条件的改变，高血脂的患病率也在逐渐上升。据研究显示，我国成人血脂异常总体患病率高达 40.4％（也就是说，每一千个人中约有404个人存在血脂异常），其中血脂异常中绝大多数人群为高脂血症患者
[3]
。
高脂血症和血脂异常相同吗？
不相同。血脂异常不仅包括高甘油三酯血症、高胆固醇血症、混合型高脂血症，还包括低、高密度脂蛋白血症
[2]
。
高脂血症应该去医院的哪个科室呢？
心血管内科、内分泌科、营养科。
一般可以去心血管内科或内分泌科治疗；如果是想进一步了解营养治疗或制定个体化的食谱，可以去营养科看看。"
甲状腺癌,"甲状腺癌是什么？
甲状腺癌是发生于甲状腺的恶性肿瘤
[1]
，可能由遗传、射线辐射、甲状腺癌家族史引起，也是内分泌系统中最常见的恶性肿瘤。
甲状腺癌一般不影响甲状腺素、三碘甲状腺原氨酸的分泌，主要表现是颈部有肿块、呼吸困难、颈部淋巴结肿大，少数患者还会出现声嘶、吞咽困难等症状。
大部分的甲状腺癌恶性程度不高，很少危及生命。通过甲状腺全切除、近全切除手术、术后放射性 131I 治疗、TSH 抑制治疗，通常可以取得较好的治疗效果，甲状腺分化癌预后效果好，死亡率低，未分化癌预后差
[2]
。
甲状腺癌常见吗？
常见，2019年我国甲状腺癌发病率为 14.6/10 万，也就是说每 10 万个人当中，每年就有接近 15 个人新发甲状腺癌
[3]
。
甲状腺是个什么器官？
甲状腺是位于喉结下前方的一个内分泌腺体，形状像一只蝴蝶，一般触摸不到。甲状腺可以生成甲状腺素 T4 和三碘甲状腺原氨酸 T3，这些激素对维持人的热量产生（体温）和代谢平衡起着重要作用。
甲状腺癌有哪些类型？
甲状腺癌的类型主要是根据病理检查结果划分的，也就是说，没有经过医院的检查，一般无法确认甲状腺癌的类型。
整体来说，甲状腺癌可分类为分化型和未分化型，分化型甲状腺癌又可以分类为乳头状癌、滤泡状癌、髓样癌。
具体分类如下：
1. 未分化癌
：
占所有甲状腺癌的 3%～8%，多见于老年人，女性略多。
特点是生长迅速伴疼痛，恶性程度高，约 80% 的患者在诊断后 1 年内死亡
[4]
。
2. 分化癌
：
乳头状癌：占所有甲状腺癌的 70%～90%，多在 30～60 岁发病，女性多见，可有家族病史。年纪轻、肿瘤小、未转移的患者，治疗效果很好
[4]
。
滤泡状癌：占所有甲状腺癌的 10%～15%，多见于老年人和缺碘地区的人。恶性程度较乳头状癌略高
[4]
。
髓样癌：占所有甲状腺癌的 6%～8%，可产生降钙素并在血中测得出，可有家族病史，可为多发性内分泌瘤病（MEN）的组成部分。恶性程度较高
[4]
。
分化型甲状腺癌，手术是基本治疗方法，并可用放射性核素、TSH 抑制及外放射等方式治疗。
而未分化型甲状腺癌，是甲状腺癌中恶性程度最高的一种，常规治疗手段疗效均极其有限。放射外照射治疗，主要用于未分化型甲状腺癌。
但是也不用太过于担忧，甲状腺癌整体的生存率相对较高。而且还有一部分甲状腺癌可能直径较小（小于 1 cm），未必都会继续进展，可能只需要根据医生要求继续观察就行。
如果确诊了甲状腺癌，配合医生积极治疗，也是有痊愈的可能的。尤其是早期的甲状腺乳头状癌，甚至治愈后有可能不再复发。
甲状腺癌在哪个科治疗？
一般来说，甲状腺癌在甲状腺乳腺外科就诊，有些医院没有专门的甲状腺乳腺外科，可以在普外科或肿瘤外科就诊。
如果伴有甲状腺激素分泌异常，如甲亢的心率增快、消瘦、突眼等，也可能需要在内分泌科进行治疗。"
妊娠期糖尿病,"妊娠期糖尿病是什么疾病？
妊娠期间的糖尿病有两种情况：一种是在原有糖尿病的基础上合并妊娠，称为「糖尿病合并妊娠」；另一种是妊娠前一切正常，怀孕后才出现的糖尿病，称为「妊娠期糖尿病」。血糖高的孕妇中 90% 以上都是妊娠期糖尿病。
妊娠期糖尿病对母亲和孩子均有不利影响，因此妊娠中期会进行口服葡萄糖耐量试验（OGTT），筛查有无妊娠期糖尿病。
不太严重的妊娠期糖尿病，通过饮食控制、运动即可控制血糖；比较严重的妊娠期糖尿病，则需要注射胰岛素治疗。
生产后，妊娠期糖尿病可缓解，但以后患上 2 型糖尿病的风险会升高。
妊娠期糖尿病常见吗？
常见，我国发生率 1%～5%，近年来有明显增高趋势。"
糖尿病肾病,"糖尿病肾病是什么？
糖尿病肾病是指由糖尿病引起的慢性肾病。是由于长时间的血糖升高，对肾脏的血管等造成的损伤，引起的肾病。
主要危害包括有害物质不能正常排出，而蛋白等有用的物质被排出。病情进展会导致严重的肾功能障碍或者是尿毒症，在所有进行透析的患者中约 50% 是糖尿病肾病患者。
糖尿病肾病作为糖尿病的一种慢性并发症，其危害性不容小觑。"
慢性胃炎,"慢性胃炎是什么？
慢性胃炎系指不同病因引起的各种慢性胃黏膜炎性病变，常见病因包括幽门螺杆菌感染、十二指肠 - 胃反流、药物因素和自身免疫因素等
[1]
。
患者最常见的症状有饱胀、嗳气、上腹痛等。治疗方面多以药物治疗为主，一般病程较长，治疗较为缓慢，但多数患者症状可以消除。
慢性胃炎是常见病吗？
由于多数慢性胃炎患者无任何症状，因此难以获得确切的患病率。
可以肯定的是，慢性胃炎患病率不低于当地人群的幽门螺杆菌（Hp）感染率。慢性胃炎的患病率随年龄的增加而升高，但与性别无明显相关性
[2]
。
慢性胃炎可以分为哪几种类型？
根据病因与病理学表现，可以将慢性胃炎分为慢性非萎缩性胃炎和慢性萎缩性胃炎
[3]
。
慢性非萎缩性胃炎：胃黏膜出现充血水肿，黏膜皱襞肿胀；
慢性萎缩性胃炎：也称为化生性萎缩性胃炎、胃萎缩，除了有炎症表现外，还会出现胃黏膜变薄、上皮细胞类型改变等情况。
根据胃炎发生部位，又可以将慢性胃炎分为胃窦炎、胃体炎、胃窦为主的全胃炎、胃体为主的全胃炎（顾名思义，疾病名称就可以展现疾病的发生部位，如胃窦炎是发生在胃窦的慢性胃炎；胃体炎是发生在胃体部位的慢性胃炎）。
慢性胃炎应该去哪个科室就诊？
慢性胃炎属于
消化内科
的常见疾病，一般选择去消化内科就诊即可。"
